,GDP,FEDR,CPI,Loan
1988-07-01,0.271419475,0.902002891,-4.913780719,0.399175942
1988-10-01,0.354972914,0.92788341,-5.465939959,0.379255029
1989-01-01,0.320192388,0.974971994,-5.549145074,0.373752098
1989-04-01,0.342917392,0.98811284,-6.306977303,0.374711501
1989-07-01,0.279181486,0.958085849,-5.904890154,0.332679093
1989-10-01,0.191619346,0.935003151,-5.816648568,0.28687931
1990-01-01,0.225115541,0.916453949,-6.162960512,0.29033261
1990-04-01,0.18560588,0.915927212,-6.616148514,0.274631904
1990-07-01,0.164983567,0.911690159,-8.01365557,0.252217253
1990-10-01,-0.048873767,0.888740961,-8.22717717,0.177079826
1991-01-01,-0.142926879,0.808210973,-7.923548605,0.116502994
1991-04-01,-0.060694025,0.767897616,-5.975045854,0.058930768
1991-07-01,0.085949318,0.751279104,-4.289336956,0.019906633
1991-10-01,0.185551635,0.683047038,-4.525009908,0.037695582
1992-01-01,0.229616119,0.604226053,-4.757018861,0.042222585
1992-04-01,0.297231971,0.57634135,-4.849102593,0.062966444
1992-07-01,0.355641998,0.5132176,-4.793110051,0.082032575
1992-10-01,0.335604115,0.482873584,-5.299323301,0.075533665
1993-01-01,0.235671619,0.482873584,-5.297561209,0.076781356
1993-04-01,0.19435114,0.477121255,-5.296427371,0.090480591
1993-07-01,0.138323732,0.485721426,-4.446470512,0.147031147
1993-10-01,0.262815414,0.475671188,-4.761678021,0.19401806
1994-01-01,0.30455325,0.506505032,-4.316843629,0.218802058
1994-04-01,0.399460381,0.595496222,-4.621501778,0.229618081
1994-07-01,0.318431109,0.652246341,-4.957168658,0.258421135
1994-10-01,0.334667934,0.713490543,-5.219710813,0.288496353
1995-01-01,0.223770743,0.764176132,-5.718598449,0.324028052
1995-04-01,0.197563411,0.779596491,-5.573963979,0.33813116
1995-07-01,0.167420168,0.763427994,-5.453587752,0.337824054
1995-10-01,0.206957903,0.757396029,-5.05118621,0.32984493
1996-01-01,0.240063005,0.72916479,-5.362665122,0.352870688
1996-04-01,0.334971633,0.719331287,-6.433503777,0.351903615
1996-07-01,0.357889886,0.725094521,-6.619688344,0.349607451
1996-10-01,0.400561555,0.722633923,-6.732415844,0.32323736
1997-01-01,0.294842614,0.722633923,-6.157289346,0.313106421
1997-04-01,0.356793067,0.741939078,-5.211045819,0.337124139
1997-07-01,0.379390122,0.742725131,-4.2006731,0.36127722
1997-10-01,0.380586232,0.741151599,-4.05844762,0.387625114
1998-01-01,0.324790475,0.741939078,-4.012755563,0.402444471
1998-04-01,0.29220174,0.740362689,-3.520080711,0.43848148
1998-07-01,0.34852247,0.742725131,-3.496024031,0.460004096
1998-10-01,0.417125717,0.686636269,-4.402700954,0.48293171
1999-01-01,0.398526401,0.674861141,-4.575171137,0.46211884
1999-04-01,0.346747602,0.67669361,-5.468283294,0.440745098
1999-07-01,0.305910509,0.706717782,-6.516549662,0.45358465
1999-10-01,0.404251866,0.725094521,-7.920936669,0.480634207
2000-01-01,0.347364234,0.754348336,-9.012051287,0.549700785
2000-04-01,0.412823979,0.797267541,-9.415523552,0.511947788
2000-07-01,0.242226992,0.814247596,-10.36040966,0.447361011
2000-10-01,0.27146793,0.810904281,-9.666853237,0.38892943
2001-01-01,0.042644762,0.747411808,-10.69242855,0.325750756
2001-04-01,0.085838761,0.636487896,-10.20105044,0.324494861
2001-07-01,-0.007682858,0.544068044,-8.614102825,0.360957248
2001-10-01,0.051793108,0.328379603,-4.214862989,0.310982372
2002-01-01,0.092835974,0.238046103,-2.528432673,0.295290422
2002-04-01,0.184605071,0.243038049,-5.008088265,0.188503364
2002-07-01,0.206611651,0.240549248,-7.965222674,0.266502582
2002-10-01,0.116191032,0.158362492,-9.426669377,0.292331533
2003-01-01,0.112652755,0.096910013,-11.03834874,0.347843792
2003-04-01,0.158806658,0.096910013,-7.650432966,0.436556613
2003-07-01,0.327527152,0.008600172,-8.737294081,0.417047787
2003-10-01,0.395424487,0,-5.534106466,0.401697326
2004-01-01,0.358129195,0,-11.23656459,0.364334126
2004-04-01,0.25950467,0.004321374,-11.96694571,0.423161134
2004-07-01,0.232162685,0.155336037,-13.81342012,0.449793907
2004-10-01,0.262237517,0.290034611,-16.01480017,0.511441195
2005-01-01,0.29670225,0.392696953,-14.97418935,0.489270073
2005-04-01,0.256114081,0.46834733,-15.91704889,0.511107839
2005-07-01,0.253349028,0.539076099,-20.55904101,0.449110059
2005-10-01,0.201680766,0.599883072,-24.7713008,0.480106975
2006-01-01,0.272048753,0.649334859,-24.87849667,0.526144307
2006-04-01,0.215553974,0.691081492,-22.64904632,0.522066349
2006-07-01,0.165257454,0.720159303,-24.99932299,0.484184165
2006-10-01,0.121789062,0.720159303,-16.01455317,0.418280824
2007-01-01,0.097054969,0.720985744,-18.77457434,0.397095386
2007-04-01,0.167265765,0.720159303,-23.90727664,0.426074863
2007-07-01,0.155732678,0.705007959,-36.51894704,0.479749951
2007-10-01,0.186392177,0.653212514,-45.73642739,0.505714317
2008-01-01,0.03558183,0.50242712,-54.40044074,0.498548681
2008-04-01,0.017327307,0.320146286,-75.55210596,0.297073152
2008-07-01,-0.069744252,0.28780173,-110.4414862,0.270030793
2008-10-01,-0.22075784,-0.292429824,-20.61334863,0.000527796
2009-01-01,-0.417300757,-0.744727495,127.1708934,-0.107754561
